,Date,Mid,Volume
736,2010-09-03,1072.99,18592350000.0
473,2010-09-10,1101.015,12780950000.0
471,2010-09-17,1122.4250000000002,19862160000.0
209,2010-09-24,1135.845,19422610000.0
68,2010-10-01,1144.625,20187050000.0
348,2010-10-08,1149.8,19528080000.0
62,2010-10-15,1170.045,22245800000.0
325,2010-10-22,1174.57005,22881410000.0
461,2010-10-29,1183.92,20582070000.0
270,2010-11-05,1202.365,23993790000.0
925,2010-11-12,1210.46,21491310000.0
790,2010-11-19,1190.21505,20887180000.0
104,2010-11-26,1187.92495,12820640000.0
63,2010-12-03,1199.60495,21212840000.0
752,2010-12-10,1229.95,24175410000.0
754,2010-12-17,1239.79,22270220000.0
493,2010-12-23,1250.45,10828420000.0
226,2010-12-31,1257.04,10455790000.0
155,2011-01-07,1267.895,23655220000.0
485,2011-01-14,1277.7100500000001,21286570000.0
746,2011-01-21,1283.66005,19899340000.0
742,2011-01-28,1288.885,23156650000.0
729,2011-02-04,1293.75,21726860000.0
465,2011-02-11,1321.2649999999999,20109950000.0
468,2011-02-18,1334.33995,12589110000.0
196,2011-02-25,1316.585,7712050000.0
500,2011-03-04,1317.4299999999998,12022480000.0
766,2011-03-11,1309.8350500000001,20669090000.0
762,2011-03-18,1275.11995,23905220000.0
928,2011-03-25,1300.41505,20090110000.0
680,2011-04-01,1321.5549999999998,18297330000.0
684,2011-04-08,1331.1999500000002,19888170000.0
417,2011-04-15,1318.095,19701690000.0
271,2011-04-21,1316.095,15933560000.0
274,2011-04-29,1348.01505,17617650000.0
818,2011-05-06,1349.875,20363720000.0
129,2011-05-13,1345.73495,19539110000.0
432,2011-05-20,1332.6649499999999,19514380000.0
394,2011-05-27,1323.21,17595530000.0
683,2011-06-03,1321.5500000000002,16204530000.0
418,2011-06-10,1284.27,18551800000.0
421,2011-06-17,1275.28495,20466010000.0
592,2011-06-24,1280.7399999999998,19888020000.0
219,2011-07-01,1304.27,19505540000.0
215,2011-07-08,1343.7,14950400000.0
483,2011-07-15,1324.91005,20768430000.0
564,2011-07-22,1321.46,20550440000.0
569,2011-07-29,1313.58995,21035970000.0
596,2011-08-05,1237.7350000000001,26341740000.0
341,2011-08-12,1150.01,19325310000.0
346,2011-08-19,1165.26,22135160000.0
250,2011-08-26,1155.8850499999999,26548480000.0
873,2011-09-02,1200.6350499999999,23250630000.0
312,2011-09-09,1172.265,18596560000.0
181,2011-09-16,1178.065,24565280000.0
451,2011-09-23,1167.305,25641420000.0
713,2011-09-30,1163.46495,24801410000.0
772,2011-10-07,1123.085,22574340000.0
87,2011-10-14,1191.38,22779620000.0
186,2011-10-21,1215.255,23838320000.0
191,2011-10-28,1256.86005,24561180000.0
306,2011-11-04,1250.19,22746070000.0
24,2011-11-11,1252.095,19370910000.0
19,2011-11-18,1236.84005,19328050000.0
651,2011-11-25,1187.1399999999999,13424920000.0
794,2011-12-02,1209.375,21678300000.0
424,2011-12-09,1249.26505,20171810000.0
690,2011-12-16,1232.26,21176570000.0
0,2011-12-23,1233.895,16400510000.0
278,2011-12-30,1259.005,9030550000.0
352,2012-01-06,1271.7399999999998,15509070000.0
74,2012-01-13,1285.6849499999998,19273940000.0
880,2012-01-20,1302.855,16485160000.0
882,2012-01-27,1319.76505,20404830000.0
902,2012-02-03,1322.915,21128390000.0
216,2012-02-10,1345.11995,19306360000.0
218,2012-02-17,1352.1,19414420000.0
310,2012-02-24,1360.6,14720720000.0
175,2012-03-02,1366.48,18913110000.0
178,2012-03-09,1357.395,18383450000.0
859,2012-03-16,1386.2849500000002,21406220000.0
580,2012-03-23,1400.435,18414980000.0
329,2012-03-30,1405.3550500000001,18492280000.0
